SY-1#ZYL-9F-01#01-36U-NW-ACC-S5731,10.61.240.194,huawei
SY-ZHL-2F-12#01-33U-NW-ACC-S5731,10.61.240.24,huawei
SY-1#ZYL-6F-01#01-24U-NW-ACC-S5731,10.61.240.210,huawei
SY-1#ZYL-8F-01#01-36U-NW-ACC-S5731,10.61.240.201,huawei
SY-2#ZYL-9F-04#01-30U-NW-ACC-S5731,10.61.240.211,huawei
SY-2#ZYL-5F-04#01-36U-NW-ACC-S5731,10.61.240.208,huawei
SY-1#ZYL-9F-02#01-36U-NW-ACC-S5731,10.61.240.202,huawei
SY-1#ZYL-4F-01#01-30U-NW-ACC-S5731,10.61.240.191,huawei
SY-2#ZYL-6F-03#01-24U-NW-ACC-S5731,10.61.240.213,huawei
SY-2#ZYL-7F-04#30U-NW-ACC-S5731,10.61.240.212,huawei
SY-2#ZYL-7F-03#24U-NW-ACC-S5731,10.61.240.214,huawei
SY-2#ZYL-6F-04#24U-NW-ACC-S5731,10.61.240.216,huawei
SY-2#ZYL-8F-03#24U-NW-ACC-S5731,10.61.240.218,huawei
SY-1#ZYL-8F-02#01-36U-NW-ACC-S5731,10.61.240.205,huawei
SY-2#ZYL-9F-03#30U-NW-ACC-S5731,10.61.240.215,huawei
SY-ZHL-5F-13#01-36U-NW-ACC-S5731,10.61.240.35,huawei
SY-2#ZYL-8F-04#24U-NW-ACC-S5731,10.61.240.217,huawei
SY-B1-14#01-27U-NW-ACC-S5731,10.61.240.225,huawei
SY-1#ZYL-2F-01#01-33U-NW-ACC-S5731,10.61.240.130,huawei
SY-1#ZYL-3F-02#01-18U-NW-ACC-S5731,10.61.240.221,huawei
SY-1#ZYL-2F-02#01-36U-NW-ACC-S5731,10.61.240.124,huawei
SY-1#ZYL-3F-02#01-36U-NW-ACC-S5731,10.61.240.9,huawei
SY-ZHL-1F-09#01-30U-NW-ACC-S5731,10.61.240.220,huawei
SY-1#ZYL-2F-08#01-33U-NW-ACC-S5731,10.61.240.127,huawei
SY-KYL-3F-16#01-30U-NW-ACC-S5731,10.61.240.50,huawei
SY-KYL-4F-15#01-30U-NW-ACC-S5731,10.61.240.49,huawei
SY_1#ZYL-5F-02#-01-36U-NW-ACC-S5731,10.61.240.15,huawei
SY-ZHL-1F-11#01-33U-NW-ACC-S5731,10.61.240.5,huawei
SY-KYL-6F-15#01-30U-NW-ACC-S5731,10.61.240.46,huawei
SY-KYL-2F-15#01-30U-NW-ACC-S5731,10.61.240.85,huawei
SY-ZHL-6F-11#01-30U-NW-ACC-S5731,10.61.240.32,huawei
SY-ZHL-1F-12#01-36U-NW-ACC-S5731,10.61.240.89,huawei
SY-2#ZYL-1F-03#01-30U-NW-ACC-S5731,10.61.240.99,huawei
SY-2#ZYL-4F-03#01-36U-NW-ACC-S5731,10.61.240.207,huawei
SY-2#ZYL-2F-04#01-30U-NW-ACC-S5731,10.61.240.8,huawei
SY-ZHL-4F-13#01-36U-NW-ACC-S5731,10.61.240.86,huawei
SY-ZHL-3F-12#01-27U-NW-ACC-S5731,10.61.240.47,huawei
SY-KYL-3F-15#01-30U-NW-ACC-S5731,10.61.240.21,huawei
SY-ZHL-3F-03#01-36U-NW-ACC-S5731,10.61.240.10,huawei
SY-ZHL-3F-10#01-33U-NW-ACC-S5731,10.61.240.44,huawei
SY-B3-FHZB4#01-33U-NW-ACC-S5731,10.61.240.219,huawei
SY-1#ZYL-2F-07#01-27U-NW-ACC-S5731,10.61.240.226,huawei
SY-B1-B-2#01-18U-NW-ACC-S5731,10.61.240.229,huawei
SY-2#ZYL-4F-04#01-27U-NW-ACC-S5731,10.61.240.187,huawei
SY-KYL-9F-16#01-30U-NW-ACC-S5731,10.61.240.54,huawei
SY-B1-16#01-24U-NW-ACC-S5731,10.61.240.228,huawei
SY-1#ZYL-6F-02#01-30U-NW-ACC-S5731,10.61.240.222,huawei
SY-1#ZYL-B1-06#01-36U-NW-ACC-S5731,10.61.240.60,huawei
SY-1#ZYL-1F-08#01-27U-NW-ACC-S5731,10.61.240.224,huawei
SY-1#ZYL-5F-01#01-30U-NW-ACC-S5731,10.61.240.223,huawei
SY-B1-B-6#01-09U-NW-ACC-S5731,10.61.240.227,huawei
