设备名称,管理IP,端口,物理状态,协议状态,端口UP时间,端口DOWN时间,速率,双工,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/16,UP,UP,2024-05-15 07:00:04 UTC+08:00,2024-05-15 06:59:59 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/17,UP,UP,2024-05-15 07:00:02 UTC+08:00,2024-05-15 06:59:57 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/18,UP,UP,2024-05-15 07:00:10 UTC+08:00,2024-05-15 07:00:05 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/19,UP,UP,2024-05-15 07:00:11 UTC+08:00,2024-05-15 07:00:06 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/20,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/21,UP,UP,2024-05-15 05:57:41 UTC+08:00,2024-05-15 05:57:37 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/22,DOWN,DOWN,2024-04-09 15:56:14 UTC+08:00,2024-04-09 19:53:01 UTC+08:00,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/23,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/24,UP,UP,2024-05-15 07:30:32 UTC+08:00,2024-05-14 17:26:36 UTC+08:00,100,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/25,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
SY-1#ZYL-1F-02#01-18U-NW-ACC-S5731,10.61.240.123,GigabitEthernet0/0/26,DOWN,DOWN,-,2024/2/26 2:23,1000,FULL,,,,
