
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/21      ,hybrid,1,1000-1015 1031 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/22      ,hybrid,1,1000-1015 1031 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/23      ,hybrid,1,1000-1015 1031 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/24      ,hybrid,1,1000-1015 1031 1500-1538,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/25      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/26      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/27      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/28      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/29      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/30      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/31      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/32      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/33      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/34      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/35      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/36      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/37      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/38      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/39      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/40      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/41      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/42      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/43      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/44      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/45      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/46      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/47      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet0/0/48      ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/1       ,desirable,1,1-4094,
SY-1#ZYL-2F-2#02-33U-WX-ACC-S5731,10.61.244.20,GigabitEthernet1/0/2       ,desirable,1,1-4094,
