弱电间,列1,序列号,列2,列3,列4,列5,列6,过线柜弱电间侧,列7,列8,过线柜机房侧,列9,列10,机房机柜侧,列11,列12,列13,列14,列15
5F,3#,102376880801,无线POE交换机,6U,XG0/0/3,41U,3口,无线3柜-正,28U,3口,无线3柜-正,10U,22口,B25,背-38U,22口,无线汇聚7706-3,15-24U,XGE4/0/32
5F,3#,102376880801,无线POE交换机,6U,XG0/0/4,41U,15口,无线3柜-正,28U,15口,无线3柜-正,10U,46口,B25,背-38U,46口,无线汇聚7706-4,3-12U,XGE4/0/32
5F,4#,102377155621,内网POE交换机,6U,XG0/0/3,41U,1口,内网3柜-正,28U,25口,内网3柜-正,10U,16口,B12,背-34U,16口,无线汇聚7706-1,15-24U,XGE5/0/11
5F,4#,102377155621,内网POE交换机,6U,XG0/0/4,41U,13口,内网3柜-正,28U,37口,内网3柜-正,6U,16口,B12,背-32U,16口,无线汇聚7706-2,3-12U,XGE5/0/11
2F,6#,2S2350017560,中心AP,27U,XG0/0/3,38U,2口,无线2柜-背,28U,2口,无线2柜-正,12U,10口,B24,背-40U,10口,无线汇聚7706-1,15-24U,XGE3/0/39
2F,6#,2S2350017560,中心AP,27U,XG0/0/4,38U,14口,无线2柜-背,28U,14口,无线2柜-正,12U,34口,B24,背-40U,34口,无线汇聚7706-2,3-12U,XGE3/0/39
5F,3#,2S2350017580,中心AP,33U,XG0/0/3,41U,1口,无线3柜-正,28U,1口,无线3柜-正,12U,15口,B24,背-38U,15口,无线汇聚7706-1,15-24U,XGE4/0/25
5F,3#,2S2350017580,中心AP,33U,XG0/0/4,41U,13口,无线3柜-正,28U,13口,无线3柜-正,12U,39口,B24,背-38U,39口,无线汇聚7706-2,3-12U,XGE4/0/25
5F,4#,102376880718,无线POE交换机,6U,XG0/0/3,41U,3口,无线3柜-正,28U,27口,无线3柜-正,8U,25口,B25,背-36U,25口,无线汇聚7706-3,15-24U,xge4/0/34
5F,4#,102376880718,无线POE交换机,6U,XG0/0/4,41U,15口,无线3柜-正,28U,40口,无线3柜-正,8U,37口,B25,背-36U,37口,无线汇聚7706-4,3-12U,xge4/0/34
6F,1#,,POE交换机,12U&6U&6U,XG0/0/4,41U,1口,内网3柜-正,22U,1口,内网3柜-正,10U,21口,B12,背-34U,21口,无线汇聚7706-1,15-24U,XGE5/0/12
6F,1#,,POE交换机,12U&6U&6U,XG0/0/4,41U,13口,内网3柜-正,22U,13口,内网3柜-正,6U,21口,B12,背-32U,21口,无线汇聚7706-2,3-12U,XGE5/0/12
5F,4#,2S2350016554,中心AP,33U,XG0/0/4,41U,13口,无线3柜-正,28U,37口,无线3柜-正,12U,40口,B24,背-38U,40口,无线汇聚7706-2,3-12U,XGE4/0/26
5F,4#,2S2350016554,中心AP,33U,XG0/0/3,41U,1口,无线3柜-正,28U,25口,无线3柜-正,12U,16口,B24,背-38U,16口,无线汇聚7706-1,15-24U,XGE4/0/26
5F,11#,102377155609,无线POE交换机,18U,XG0/0/3,38U,1口,无线3柜-正,26U,1口,无线3柜-正,12U,17口,B24,背-38U,17口,无线汇聚7706-1,15-24U,XGE4/0/27
5F,13#,102376880799,无线POE交换机,33U,XG0/0/3,41U,1口,无线3柜-正,26U,25口,无线3柜-正,12U,18口,B24,背-38U,18口,无线汇聚7706-1,15-24U,XGE4/0/28
5F,15#,102376880750,无线POE交换机,12U,XG0/0/3,38U,1口,无线3柜-正,24U,1口,无线3柜-正,12U,19口,B24,背-38U,19口,无线汇聚7706-1,15-24U,XGE4/0/29
6F,2#,102376880725,内网POE交换机,6U&12U&12U2,XG0/0/4,41U,1口,内网3柜-正,22U,25口,内网3柜-正,10U,22口,B12,背-34U,22口,无线汇聚7706-1,15-24U,XGE5/0/13
6F,2#,102376880778,内网POE交换机,6U&12U&12U2,XG0/0/4,41U,13口,内网3柜-正,22U,37口,内网3柜-正,6U,22口,B12,背-32U,22口,无线汇聚7706-2,3-12U,XGE5/0/13
5F,16#,102376880772,无线POE交换机,18U,XG0/0/3,38U,1口,无线3柜-正,24U,25口,无线3柜-正,12U,20口,B24,背-38U,20口,无线汇聚7706-1,15-24U,XGE4/0/30
6F,1#,2S2350017382,中心AP,30U,XG0/0/3,41U,2口,无线2柜-背,28U,26口,无线3柜-正,12U,21口,B24,背-38U,21口,无线汇聚7706-1,15-24U,XGE4/0/31
6F,2#,2S2350017807,中心AP,33U,XG0/0/4,41U,13口,无线3柜-正,22U,37口,无线3柜-正,12U,46口,B24,背-38U,46口,无线汇聚7706-2,3-12U,XGE4/0/32
6F,2#,2S2350017807,中心AP,33U,XG0/0/3,41U,1口,无线3柜-正,22U,25口,无线3柜-正,12U,22口,B24,背-38U,22口,无线汇聚7706-1,15-24U,XGE4/0/32
6F,3#,102377155634,内网POE交换机,12U,XG0/0/3,41U,1口,内网3柜-正,20U,1口,内网3柜-正,10U,23口,B12,背-34U,23口,无线汇聚7706-1,15-24U,XGE5/0/14
6F,3#,102377155634,内网POE交换机,12U,XG0/0/4,41U,13口,内网3柜-正,20U,13口,内网3柜-正,6U,23口,B12,背-32U,23口,无线汇聚7706-2,3-12U,XGE5/0/14
6F,4#,2S2350016461,中心AP,33U,XG0/0/4,41U,13口,无线3柜-正,20U,37口,无线3柜-正,12U,48口,B24,背-38U,48口,无线汇聚7706-2,3-12U,XGE4/0/34
6F,4#,2S2350016461,中心AP,33U,XG0/0/3,41U,1口,无线3柜-正,20U,25口,无线3柜-正,12U,24口,B24,背-38U,24口,无线汇聚7706-1,15-24U,XGE4/0/34
4F,1#,2S2350018064,中心AP,33U,XG0/0/3,41U,1口,无线3柜-正,42U,1口,无线3柜-正,12U,1口,B24,背-38U,1口,无线汇聚7706-1,15-24U,XGE4/0/11
4F,1#,2S2350018064,中心AP,33U,XG0/0/4,41U,13口,无线3柜-正,42U,13口,无线3柜-正,12U,25口,B24,背-38U,25口,无线汇聚7706-2,3-12U,XGE4/0/11
4F,2#,2S2350017806,中心AP,33U,XG0/0/3,41U,1口,无线3柜-正,42U,25口,无线3柜-正,12U,2口,B24,背-38U,2口,无线汇聚7706-1,15-24U,XGE4/0/12
4F,2#,2S2350017806,中心AP,33U,XG0/0/4,41U,13口,无线3柜-正,42U,37口,无线3柜-正,12U,26口,B24,背-38U,26口,无线汇聚7706-2,3-12U,XGE4/0/12
3F,12#,2S2350017561,中心AP,21U,XG0/0/3,38U,2口,无线2柜-背,18U,26口,无线2柜-正,10U,21口,B25,背-40U,21口,无线汇聚7706-3,15-24U,XGE4/0/2
3F,12#,2S2350017561,中心AP,21U,XG0/0/4,38U,14口,无线2柜-背,18U,38口,无线2柜-正,10U,45口,B25,背-40U,45口,无线汇聚7706-4,3-12U,XGE4/0/2
7F,1#,102377155612,内网POE交换机,12U,XG0/0/3,41U,1口,内网3柜-正,14U,1口,内网3柜-正,10U,29口,B12,背-34U,29口,无线汇聚7706-1,15-24U,XGE5/0/16
7F,1#,102377155612,内网POE交换机,12U,XG0/0/4,41U,13口,内网3柜-正,14U,13口,内网3柜-正,6U,29口,B12,背-32U,29口,无线汇聚7706-2,3-12U,XGE5/0/16
7F,1#,102376880809,无线POE交换机,6U,XG0/0/3,2柜-41U,3口,无线3柜-正,16U,3口,无线3柜-正,10U,20,B25,背-38U,20,无线汇聚7706-3,15-24U,XGE4/0/30
7F,1#,102376880809,无线POE交换机,6U,XG0/0/4,2柜-41U,15口,无线3柜-正,16U,15口,无线3柜-正,10U,44,B25,背-38U,44,无线汇聚7706-4,3-12U,XGE4/0/30
7F,1#,102376880770,无线POE交换机,6U,XG0/0/3,2柜-41U,2口,无线3柜-正,16U,2口,无线3柜-正,10U,19,B25,背-38U,19,无线汇聚7706-3,15-24U,XGE4/0/29
7F,1#,102376880770,无线POE交换机,6U,XG0/0/4,2柜-41U,14口,无线3柜-正,16U,14口,无线3柜-正,10U,43,B25,背-38U,43,无线汇聚7706-4,3-12U,XGE4/0/29
7F,2#,102376880826,内网POE交换机,6U&6U2&12U,XG0/0/4,41U,1口,内网3柜-正,14U,25口,内网3柜-正,10U,30口,B12,背-34U,30口,无线汇聚7706-1,15-24U,XGE5/0/17
7F,2#,102377155607,内网POE交换机,6U&6U2&12U,XG0/0/4,41U,13口,内网3柜-正,14U,37口,内网3柜-正,6U,30口,B12,背-32U,30口,无线汇聚7706-2,3-12U,XGE5/0/17
